Customer_ID,Age,Gender,City_Tier,Income_Level,Lifestyle_Type,Health_Goal,Dietary_Preference,Preferred_Category,Order_Frequency,Avg_Monthly_Spend,Discount_Sensitivity,App_Usage_Time,Subscription_Type,Order_Value,Churn,CLV,Engagement_Score,High_Value_Customer,Spend_per_Order
1,56,0,2,2,1,1,1,2,1,1968.0,0.76,8,2,316,1,11808,8,0,984.0
2,46,0,0,0,1,0,1,2,6,4014.0,0.24,10,1,1695,0,144504,60,1,573.4285714285714
3,32,1,0,2,1,2,1,1,3,3104.0,0.71,77,0,962,1,55872,231,0,776.0
4,25,0,1,2,1,0,0,1,3,2369.0,0.58,30,0,1923,0,42642,90,0,592.25
5,38,1,1,2,2,0,1,3,9,2385.0,0.99,6,0,2434,0,128790,54,0,238.5
6,56,0,0,2,1,2,1,2,3,2773.0,1.0,70,0,984,1,49914,210,0,693.25
7,36,0,1,1,1,0,1,2,4,830.0,0.87,118,2,1692,1,19920,472,0,166.0
8,40,1,1,0,2,1,0,3,7,4955.0,0.76,89,1,906,0,208110,623,1,619.375
9,28,1,0,2,2,0,1,3,11,2086.0,0.39,90,0,995,1,137676,990,0,173.83333333333334
10,28,1,0,1,1,0,1,1,3,700.0,0.75,7,2,672,1,12600,21,0,175.0
11,41,0,1,2,1,0,1,2,4,1953.0,0.96,39,2,881,1,46872,156,0,390.6
12,53,1,0,1,1,1,0,2,2,1325.0,0.02,118,2,293,0,15900,236,0,441.6666666666667
13,57,0,2,1,0,0,0,0,9,610.0,0.54,63,2,935,0,32940,567,0,61.0
14,41,1,2,1,0,0,0,0,16,1363.0,0.22,42,2,2241,0,130848,672,0,80.17647058823529
15,20,0,2,2,1,1,0,1,1,2407.0,0.56,37,0,2285,1,14442,37,0,1203.5
16,39,0,0,2,2,2,0,3,5,3272.0,0.47,19,0,2358,0,98160,95,0,545.3333333333334
17,19,1,2,2,1,2,0,2,1,3067.0,0.58,79,0,2113,0,18402,79,0,1533.5
18,41,0,0,2,2,2,1,3,7,2732.0,0.55,78,0,1789,0,114744,546,0,341.5
19,47,0,0,2,2,0,1,3,6,3580.0,0.96,104,0,1350,1,128880,624,0,511.42857142857144
20,55,1,0,2,2,2,1,3,7,2054.0,0.55,18,0,2213,0,86268,126,0,256.75
21,19,0,0,2,1,1,0,1,5,3403.0,0.85,70,0,241,1,102090,350,0,567.1666666666666
22,38,1,1,2,1,0,1,2,9,1606.0,0.32,49,2,240,0,86724,441,0,160.6
23,50,1,0,1,2,0,1,3,6,1788.0,0.44,52,2,1710,0,64368,312,0,255.42857142857142
24,29,1,0,1,0,0,0,0,19,725.0,0.47,48,2,1894,0,82650,912,0,36.25
25,39,1,1,2,0,2,1,0,18,3726.0,0.28,41,0,2429,0,402408,738,0,196.10526315789474
26,42,0,0,2,0,2,0,0,8,2893.0,0.38,119,0,943,1,138864,952,0,321.44444444444446
27,44,0,1,1,2,2,1,3,10,1136.0,0.6,33,2,1273,1,68160,330,0,103.27272727272727
28,59,0,0,1,1,0,0,1,3,1287.0,0.58,103,2,1631,0,23166,309,0,321.75
29,45,1,2,0,2,1,1,3,11,3166.0,0.64,88,0,497,0,208956,968,0,263.8333333333333
30,33,0,2,0,0,0,1,0,13,5710.0,0.35,89,1,2392,0,445380,1157,1,407.85714285714283
31,32,0,0,2,1,1,1,2,7,3847.0,0.32,38,0,215,1,161574,266,0,480.875
32,20,1,0,2,2,0,0,3,9,2904.0,0.61,63,0,1275,0,156816,567,0,290.4
33,54,1,0,2,2,1,0,3,5,3582.0,0.13,117,0,306,1,107460,585,0,597.0
34,24,0,2,0,0,0,1,0,10,4525.0,0.25,47,1,418,0,271500,470,1,411.3636363636364
35,38,1,0,0,2,0,0,3,7,6524.5,0.04,37,1,570,0,311178,259,1,815.5625
36,26,1,0,1,1,1,1,2,7,1315.0,0.07,23,2,453,1,55230,161,0,164.375
37,56,1,0,0,0,1,0,0,10,6524.5,0.24,12,1,1628,0,470280,120,1,593.1363636363636
38,35,1,0,1,0,1,1,0,18,1226.0,0.02,35,2,2208,0,132408,630,0,64.52631578947368
39,21,0,0,1,1,1,1,2,5,1325.0,0.25,15,2,1922,1,39750,75,0,220.83333333333334
40,42,1,2,2,0,1,0,0,11,2624.0,0.65,12,0,2432,0,173184,132,0,218.66666666666666
41,31,1,0,2,2,1,0,3,8,2068.0,0.06,29,0,1512,0,99264,232,0,229.77777777777777
42,26,1,0,0,2,1,0,3,11,4958.0,0.44,117,1,1184,0,327228,1287,1,413.1666666666667
43,43,1,2,1,0,1,1,0,8,1075.0,0.91,24,2,549,0,51600,192,0,119.44444444444444
44,19,1,2,2,1,0,1,1,7,3609.0,0.79,42,0,2307,0,151578,294,0,451.125
45,37,1,0,0,2,1,0,3,12,6524.5,0.31,11,1,1678,0,537408,132,1,501.88461538461536
46,45,1,0,0,1,1,1,2,3,6524.5,0.92,81,1,1078,1,129402,243,1,1631.125
47,24,1,0,1,2,0,0,3,7,1992.0,0.33,43,2,510,0,83664,301,0,249.0
48,25,0,2,2,2,0,1,3,8,2958.0,0.07,111,0,1314,1,141984,888,0,328.6666666666667
49,52,1,0,2,0,2,1,0,13,3597.0,0.99,78,0,1521,0,280566,1014,0,256.92857142857144
50,31,0,2,1,0,2,1,0,14,1382.0,0.87,76,2,479,0,116088,1064,0,92.13333333333334
51,34,1,1,0,1,1,1,2,1,3763.0,0.47,110,0,1166,0,22578,110,0,1881.5
